id,title,description,link,product_type,google_product_category,image_link,condition,availability,sale_price,price,mpn,brand,item_group_id
1637,"Calça Cirrê c/ Botões na Lateral - Preta","Calça Cirrê, com abertura em botões na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-cirre-com-botoes-na-lateral-preta/,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Calça-Botões-Preta-2.png,new,"in stock",186.00BRL,"186.00 BRL",0.00,com,1637
1636,"Calça Skinny c/ Zíper na Lateral - Azul - G","Calça Skinny Basic, com detalhe em zíper na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-skinny-basic-com-ziper-na-lateral-azul/?attribute_pa_tamanho=g,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-11.png,new,"in stock",,"178.00 BRL",0.00,com,1633
1633,"Calça Skinny c/ Zíper na Lateral - Azul","Calça Skinny Basic, com detalhe em zíper na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-skinny-basic-com-ziper-na-lateral-azul/,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-11.png,new,"in stock",178.00BRL,"178.00 BRL",0.00,com,1633
1634,"Calça Skinny c/ Zíper na Lateral - Azul - P","Calça Skinny Basic, com detalhe em zíper na lateral inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  84% Poliamida  16% Elastano",https://www.folen.com.br/produto/calca-skinny-basic-com-ziper-na-lateral-azul/?attribute_pa_tamanho=p,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-11.png,new,"in stock",,"178.00 BRL",0.00,com,1633
1631,"Calça Flare Sculpy c/ Botões - Vinho - M","Calça Flare Sculpy, com detalhe em botões na parte inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  88% Poliamida  12% Elastano",https://www.folen.com.br/produto/calca-flare-sculpy-botoes-vinho/?attribute_pa_tamanho=m,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-4.png,new,"in stock",,"238.00 BRL",0.00,com,1629
1632,"Calça Flare Sculpy c/ Botões - Vinho - G","Calça Flare Sculpy, com detalhe em botões na parte inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  88% Poliamida  12% Elastano",https://www.folen.com.br/produto/calca-flare-sculpy-botoes-vinho/?attribute_pa_tamanho=g,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-4.png,new,"in stock",,"238.00 BRL",0.00,com,1629
1630,"Calça Flare Sculpy c/ Botões - Vinho - P","Calça Flare Sculpy, com detalhe em botões na parte inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  88% Poliamida  12% Elastano",https://www.folen.com.br/produto/calca-flare-sculpy-botoes-vinho/?attribute_pa_tamanho=p,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-4.png,new,"in stock",,"238.00 BRL",0.00,com,1629
1629,"Calça Flare Sculpy c/ Botões - Vinho","Calça Flare Sculpy, com detalhe em botões na parte inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  88% Poliamida  12% Elastano",https://www.folen.com.br/produto/calca-flare-sculpy-botoes-vinho/,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-4.png,new,"in stock",238.00BRL,"238.00 BRL",0.00,com,1629
1624,"Calça Flare Sculpy c/ Botões - Verde","Calça Flare Sculpy, com detalhe em botões na parte inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  88% Poliamida  12% Elastano",https://www.folen.com.br/produto/calca-flare-sculpy-botoes-verde/,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-3.png,new,"in stock",238.00BRL,"238.00 BRL",0.00,com,1624
1625,"Calça Flare Sculpy c/ Botões - Verde - P","Calça Flare Sculpy, com detalhe em botões na parte inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  88% Poliamida  12% Elastano",https://www.folen.com.br/produto/calca-flare-sculpy-botoes-verde/?attribute_pa_tamanho=p,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-3.png,new,"in stock",,"238.00 BRL",0.00,com,1624
1626,"Calça Flare Sculpy c/ Botões - Verde - M","Calça Flare Sculpy, com detalhe em botões na parte inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  88% Poliamida  12% Elastano",https://www.folen.com.br/produto/calca-flare-sculpy-botoes-verde/?attribute_pa_tamanho=m,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-3.png,new,"in stock",,"238.00 BRL",0.00,com,1624
1627,"Calça Flare Sculpy c/ Botões - Verde - G","Calça Flare Sculpy, com detalhe em botões na parte inferior. Modelagem justa. Possui elástico.    <strong>Composição:</strong>  88% Poliamida  12% Elastano",https://www.folen.com.br/produto/calca-flare-sculpy-botoes-verde/?attribute_pa_tamanho=g,CALÇA>ROUPAS,CALÇA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/08/FOLEN-STORE-IMAGENS-3.png,new,"in stock",,"238.00 BRL",0.00,com,1624
1622,"Tricô Manga Colors em Lurex - Único","Tricô Manga Colors em lurex, manga longa.    <strong>Composição:</strong>  98,34% Acrílico  1% Poliester  0,66% Poliamida",https://www.folen.com.br/produto/trico-manga-colors-em-lurex/?attribute_pa_tamanho=unico,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Folen_0025_Brilho_Contraste-1.png,new,"in stock",99.90BRL,"139.00 BRL",0.00,com,1621
1621,"Tricô Manga Colors em Lurex","Tricô Manga Colors em lurex, manga longa.    <strong>Composição:</strong>  98,34% Acrílico  1% Poliester  0,66% Poliamida",https://www.folen.com.br/produto/trico-manga-colors-em-lurex/,BLUSA>ROUPAS,BLUSA>ROUPAS,https://www.folen.com.br/wp-content/uploads/2019/07/Folen_0025_Brilho_Contraste-1.png,new,"in stock",99.90BRL,"139.00 BRL",0.00,com,1621
